timestamp,generation_ac_kw,generation_pred_kw
2020-05-19 14:00:00,20651.58035695,18223.835180184295
2020-05-19 15:00:00,13673.59910715,18506.238106915087
2020-05-19 16:00:00,10035.907142875,12128.806557252572
2020-05-19 17:00:00,2762.6129464225,8152.850317499809
2020-05-19 18:00:00,0.43437499999999996,2070.035025468259
2020-05-19 19:00:00,0.0,0.30406249999999996
2020-05-19 20:00:00,0.0,0.0
2020-05-19 21:00:00,0.0,0.0
2020-05-19 22:00:00,0.0,0.0
2020-05-19 23:00:00,0.0,0.0
2020-05-20 00:00:00,0.0,0.0
2020-05-20 01:00:00,0.0,0.0
2020-05-20 02:00:00,0.0,0.0
2020-05-20 03:00:00,0.0,0.0
2020-05-20 04:00:00,0.0,0.0
2020-05-20 05:00:00,0.0,0.0
2020-05-20 06:00:00,1177.1825893015,357.6074115037412
2020-05-20 07:00:00,6402.7839286,2488.773013667646
2020-05-20 08:00:00,13415.479464375,7774.761348499043
2020-05-20 09:00:00,18595.89732145,14072.525465138824
2020-05-20 10:00:00,23186.894196524998,18642.49641494831
2020-05-20 11:00:00,25946.05267875,22539.32285702132
2020-05-20 12:00:00,27325.8986605,24444.217627214337
2020-05-20 13:00:00,25460.979226,25106.324036359707
2020-05-20 14:00:00,0.0,22788.551575846792
2020-05-20 15:00:00,0.0,4050.131857050089
2020-05-20 16:00:00,0.0,2557.287182247574
2020-05-20 17:00:00,3660.5080356999997,1127.715317487309
2020-05-20 18:00:00,660.2093750015,2698.561587962509
2020-05-20 19:00:00,0.0,462.14656250104997
2020-05-20 20:00:00,0.0,0.0
2020-05-20 21:00:00,0.0,0.0
2020-05-20 22:00:00,0.0,0.0
2020-05-20 23:00:00,0.0,0.0
2020-05-21 00:00:00,0.0,0.0
2020-05-21 01:00:00,0.0,0.0
2020-05-21 02:00:00,0.0,0.0
2020-05-21 03:00:00,0.0,0.0
2020-05-21 04:00:00,0.0,0.0
2020-05-21 05:00:00,0.0,0.0
2020-05-21 06:00:00,0.0,357.6074115037412
2020-05-21 07:00:00,7494.9,1664.7452011565958
2020-05-21 08:00:00,12920.261517925,8539.242598479044
2020-05-21 09:00:00,19776.097767825,13725.872902623825
2020-05-21 10:00:00,17933.296249625,19468.63672741081
2020-05-21 11:00:00,25497.74330315,18861.804294191323
2020-05-21 12:00:00,21382.785714625003,24130.40106429434
2020-05-21 13:00:00,23835.03464285,20946.144974247207
2020-05-21 14:00:00,18067.868303850002,21650.390367641794
2020-05-21 15:00:00,15037.573958425,16697.63966974509
2020-05-21 16:00:00,7633.7669643,13083.588953145074
2020-05-21 17:00:00,1519.7816964325,6471.352192497309
2020-05-21 18:00:00,207.67723214,1200.0531504752587
2020-05-21 19:00:00,0.0,145.374062498
2020-05-21 20:00:00,0.0,0.0
2020-05-21 21:00:00,0.0,0.0
2020-05-21 22:00:00,0.0,0.0
2020-05-21 23:00:00,0.0,0.0
2020-05-22 00:00:00,0.0,0.0
2020-05-22 01:00:00,0.0,0.0
2020-05-22 02:00:00,0.0,0.0
2020-05-22 03:00:00,0.0,0.0
2020-05-22 04:00:00,0.0,0.0
2020-05-22 05:00:00,0.0,0.0
2020-05-22 06:00:00,1534.4258928975,357.6074115037412
2020-05-22 07:00:00,7574.01517855,2738.843326184846
2020-05-22 08:00:00,8745.7433035,8594.623223464045
2020-05-22 09:00:00,12165.643125025,10803.710152526324
2020-05-22 10:00:00,16376.926339225,14141.318477450808
